Date,SKU,Daily_Demand
2022-03-31,BL111-M,1
2022-03-31,J0003-SET-M,2
2022-03-31,J0003-SET-XL,1
2022-03-31,J0003-SET-XS,1
2022-03-31,J0003-SET-XXL,1
2022-03-31,J0008-SKD-S,1
2022-03-31,J0009-SKD-L,1
2022-03-31,J0119-TP-XL,2
2022-03-31,J0126-SKD-M,1
2022-03-31,J0127-SKD-XS,2
2022-03-31,J0132-KR-L,1
2022-03-31,J0151-KR-L,1
2022-03-31,J0167-KR-L,1
2022-03-31,J0230-SKD-M,1
2022-03-31,J0230-SKD-S,2
2022-03-31,J0301-TP-XXXL,1
2022-03-31,J0328-KR-XL,2
2022-03-31,J0341-DR-M,2
2022-03-31,J0345-SET-M,1
2022-03-31,J0346-SET-L,1
2022-03-31,J0346-SET-XS,1
2022-03-31,JNE2199-KR-411-A-XL,1
2022-03-31,JNE2270-KR-487-A-XXL,2
2022-03-31,JNE3068-KR-A-L,1
2022-03-31,JNE3160-KR-G-L,2
2022-03-31,JNE3160-KR-G-M,1
2022-03-31,JNE3160-KR-G-S,1
2022-03-31,JNE3160-KR-G-XL,2
2022-03-31,JNE3291-KR-XXXL,1
2022-03-31,JNE3368-KR-XL,2
2022-03-31,JNE3368-KR-XXL,1
2022-03-31,JNE3373-KR-S,1
2022-03-31,JNE3373-KR-XXL,1
2022-03-31,JNE3396-KR-M,1
2022-03-31,JNE3405-KR-L,1
2022-03-31,JNE3405-KR-XXL,3
2022-03-31,JNE3405-KR-XXXL,1
2022-03-31,JNE3407-KR-XXL,1
2022-03-31,JNE3412-KR-M,1
2022-03-31,JNE3437-KR-XXL,1
2022-03-31,JNE3440-KR-N-M,1
2022-03-31,JNE3457-KR-XXXL,1
2022-03-31,JNE3465-KR-L,1
2022-03-31,JNE3504-KR-L,1
2022-03-31,JNE3510-KR-XXXL,1
2022-03-31,JNE3528-KR-XXL,1
2022-03-31,JNE3546-KR-L,1
2022-03-31,JNE3546-KR-M,1
2022-03-31,JNE3567-KR-XXL,1
2022-03-31,JNE3567-KR-XXXL,1
2022-03-31,JNE3579-KR-XXXL,1
2022-03-31,JNE3607-KR-XXL,1
2022-03-31,JNE3614-KR-L,1
2022-03-31,JNE3633-KR-XS,1
2022-03-31,JNE3638-KR-XL,1
2022-03-31,JNE3643-TP-N-XS,1
2022-03-31,JNE3675-TU-XXXL,1
2022-03-31,JNE3684-TU-S,1
2022-03-31,JNE3686-TU-XXL,1
2022-03-31,JNE3687-TU-L,1
2022-03-31,JNE3697-KR-XXL,1
2022-03-31,JNE3713-TP-N-XS,1
2022-03-31,JNE3721-KR-XXL,2
2022-03-31,JNE3724-KR-L,1
2022-03-31,JNE3724-KR-XL,1
2022-03-31,JNE3741-KR-M,1
2022-03-31,JNE3758-KR-XXXL,1
2022-03-31,JNE3781-KR-XL,1
2022-03-31,JNE3794-KR-XXXL,1
2022-03-31,JNE3795-KR-M,1
2022-03-31,JNE3797-KR-M,1
2022-03-31,JNE3797-KR-S,1
2022-03-31,JNE3798-KR-A-XXL,1
2022-03-31,JNE3801-KR-S,1
2022-03-31,JNE3802-KR-L,1
2022-03-31,JNE3803-KR-S,1
2022-03-31,JNE3822-KR-L,1
2022-03-31,JNE3869-DR-XXXL,1
2022-03-31,MEN5010-KR-M,1
2022-03-31,MEN5011-KR-XL,1
2022-03-31,MEN5013-KR-XXL,1
2022-03-31,NW022-TP-PJ-L,1
2022-03-31,NW029-ST-SR-XXXL,1
2022-03-31,NW039-TP-SR-XS,1
2022-03-31,PJNE3373-KR-N-6XL,2
2022-03-31,PSET264-KR-NP-5XL,1
2022-03-31,SET037-KR-NP-XL,1
2022-03-31,SET044-KR-NP-L,1
2022-03-31,SET044-KR-NP-S,1
2022-03-31,SET073-KR-SHA-M,3
2022-03-31,SET131-KR-NP-A-XL,1
2022-03-31,SET132-KR-NP-XXL,1
2022-03-31,SET172-KR-PP-B-L,1
2022-03-31,SET172-KR-PP-B-M,2
2022-03-31,SET182-KR-DH-XXL,1
2022-03-31,SET183-KR-DH-M,1
2022-03-31,SET183-KR-DH-XL,1
2022-03-31,SET187-KR-DH-M,1
2022-03-31,SET187-KR-DH-XL,1
2022-03-31,SET197-KR-NP-M,1
2022-03-31,SET229-KR-PP-XL,1
2022-03-31,SET239-KR-NP-S,2
2022-03-31,SET264-KR-NP-M,1
2022-03-31,SET264-KR-NP-XL,1
2022-03-31,SET268-KR-NP-XL,1
2022-03-31,SET268-KR-NP-XXXL,1
2022-03-31,SET269-KR-NP-L,1
2022-03-31,SET280-KR-PP-S,1
2022-03-31,SET288-KR-NP-XXXL,1
2022-03-31,SET293-KR-NP-M,1
2022-03-31,SET317-KR-PP-XS,1
2022-03-31,SET331-KR-NP-XL,1
2022-03-31,SET339-KR-NP-XL,1
2022-03-31,SET345-KR-NP-L,1
2022-03-31,SET361-KR-NP-S,1
2022-03-31,SET366-KR-NP-S,1
2022-03-31,SET380-KR-NP-L,1
2022-03-31,SET388-KR-NP-XXL,1
2022-03-31,SET393-KR-NP-XXL,1
2022-04-01,BL003-50BLACK-B,1
2022-04-01,BL009-61BLACK,3
2022-04-01,BL023-74PINK-B,1
2022-04-01,BL035-161GOLD,4
2022-04-01,BL057-65BLACK-A,1
2022-04-01,BL110-L,1
2022-04-01,BL111-L,1
2022-04-01,BTM029-NP-L,1
2022-04-01,J0002-SKD-XL,1
2022-04-01,J0002-SKD-XXXL,1
2022-04-01,J0003-SET-L,1
2022-04-01,J0003-SET-M,3
2022-04-01,J0003-SET-S,1
2022-04-01,J0003-SET-XXXL,1
2022-04-01,J0006-SET-L,2
2022-04-01,J0006-SET-M,2
2022-04-01,J0006-SET-XL,1
2022-04-01,J0007-SKD-M,1
2022-04-01,J0008-SKD-L,1
2022-04-01,J0008-SKD-M,1
2022-04-01,J0008-SKD-S,1
2022-04-01,J0008-SKD-XL,1
2022-04-01,J0008-SKD-XS,1
2022-04-01,J0009-SKD-M,1
2022-04-01,J0009-SKD-XL,1
2022-04-01,J0009-SKD-XS,1
2022-04-01,J0012-SKD-S,1
2022-04-01,J0023-TP-XL,1
2022-04-01,J0023-TP-XS,2
2022-04-01,J0025-DR-S,1
2022-04-01,J0034-SET-XL,1
2022-04-01,J0041-SET-XS,1
2022-04-01,J0044-TP-S,1
2022-04-01,J0078-SET-S,1
2022-04-01,J0092-SET-XL,1
2022-04-01,J0094-KR-L,1
2022-04-01,J0094-KR-XXXL,2
2022-04-01,J0095-SET-M,2
2022-04-01,J0095-SET-S,1
2022-04-01,J0095-SET-XL,2
2022-04-01,J0095-SET-XXXL,2
2022-04-01,J0096-KR-XXL,1
2022-04-01,J0097-KR-XL,1
2022-04-01,J0097-KR-XS,1
2022-04-01,J0098-TP-L,1
2022-04-01,J0104-KR-S,1
2022-04-01,J0104-KR-XL,1
2022-04-01,J0108-SKD-XXL,1
2022-04-01,J0111-TP-XS,1
2022-04-01,J0111-TP-XXL,1
2022-04-01,J0112-TP-L,1
2022-04-01,J0112-TP-S,1
2022-04-01,J0112-TP-XL,2
2022-04-01,J0112-TP-XXXL,1
2022-04-01,J0113-TP-XXL,1
2022-04-01,J0117-TP-M,1
2022-04-01,J0117-TP-S,1
2022-04-01,J0117-TP-XXL,1
2022-04-01,J0117-TP-XXXL,1
2022-04-01,J0118-TP-L,1
2022-04-01,J0118-TP-M,1
2022-04-01,J0118-TP-S,1
2022-04-01,J0118-TP-XL,3
2022-04-01,J0118-TP-XXL,1
2022-04-01,J0118-TP-XXXL,3
2022-04-01,J0119-TP-M,1
2022-04-01,J0119-TP-XXXL,1
2022-04-01,J0120-TP-L,1
2022-04-01,J0122-TP-M,1
2022-04-01,J0122-TP-S,1
2022-04-01,J0122-TP-XL,3
2022-04-01,J0122-TP-XS,1
2022-04-01,J0122-TP-XXL,1
2022-04-01,J0124-TP-XL,1
2022-04-01,J0127-SKD-XS,1
2022-04-01,J0129-SET-S,1
2022-04-01,J0131-KR-S,1
2022-04-01,J0132-KR-L,1
2022-04-01,J0132-KR-XXXL,1
2022-04-01,J0134-SET-XXXL,1
2022-04-01,J0136-KR-S,1
2022-04-01,J0137-SET-XXL,1
2022-04-01,J0139-KR-M,1
2022-04-01,J0147-SET-XXL,1
2022-04-01,J0153-DR-S,1
2022-04-01,J0153-DR-XL,1
2022-04-01,J0153-DR-XS,1
2022-04-01,J0154-DR-L,1
2022-04-01,J0154-DR-XXL,1
2022-04-01,J0155-KR-L,2
2022-04-01,J0155-KR-S,1
2022-04-01,J0157-DR-L,1
2022-04-01,J0157-DR-M,2
2022-04-01,J0157-DR-XL,2
2022-04-01,J0163-SKD-S,1
2022-04-01,J0165-TP-XL,1
2022-04-01,J0167-KR-M,1
2022-04-01,J0167-KR-XXL,1
2022-04-01,J0176-TP-M,1
2022-04-01,J0179-KR-S,1
2022-04-01,J0181-TP-XXXL,1
2022-04-01,J0192-TP-XL,1
2022-04-01,J0196-TP-M,1
2022-04-01,J0198-TP-S,1
2022-04-01,J0212-DR-XL,1
2022-04-01,J0213-TP-L,1
2022-04-01,J0215-BL-XXL,1
2022-04-01,J0220-BL-S,1
2022-04-01,J0230-SKD-L,3
2022-04-01,J0230-SKD-M,9
2022-04-01,J0230-SKD-S,5
2022-04-01,J0230-SKD-XL,2
2022-04-01,J0230-SKD-XS,4
2022-04-01,J0230-SKD-XXL,1
2022-04-01,J0230-SKD-XXXL,1
2022-04-01,J0234-SKD-M,1
2022-04-01,J0236-SKD-L,2
2022-04-01,J0236-SKD-M,3
2022-04-01,J0236-SKD-XXXL,2
2022-04-01,J0248-KR-DPT-XXXL,1
2022-04-01,J0249-SKD-L,1
2022-04-01,J0252-SKD-S,1
2022-04-01,J0297-TP-L,2
2022-04-01,J0297-TP-M,1
2022-04-01,J0297-TP-S,1
2022-04-01,J0298-DR-S,1
2022-04-01,J0299-KR-XXL,1
2022-04-01,J0300-TP-XXL,1
2022-04-01,J0301-TP-M,1
2022-04-01,J0301-TP-XL,1
2022-04-01,J0302-DR-XXXL,2
2022-04-01,J0304-TP-XS,1
2022-04-01,J0328-KR-M,1
2022-04-01,J0329-KR-M,2
2022-04-01,J0334-TP-M,2
2022-04-01,J0334-TP-S,1
2022-04-01,J0335-DR-L,3
2022-04-01,J0335-DR-XL,2
2022-04-01,J0335-DR-XXL,1
2022-04-01,J0336-TP-M,1
2022-04-01,J0337-TP-L,2
2022-04-01,J0338-DR-S,1
2022-04-01,J0339-DR-M,1
2022-04-01,J0339-DR-S,1
2022-04-01,J0339-DR-XL,1
2022-04-01,J0341-DR-L,1
2022-04-01,J0341-DR-XL,1
2022-04-01,J0341-DR-XS,1
2022-04-01,J0341-DR-XXXL,1
2022-04-01,J0342-TP-L,1
2022-04-01,J0342-TP-M,2
2022-04-01,J0343-DR-S,1
2022-04-01,J0343-DR-XL,1
2022-04-01,J0343-DR-XXXL,1
2022-04-01,J0344-TP-L,1
2022-04-01,J0344-TP-M,3
2022-04-01,J0344-TP-XXL,5
2022-04-01,J0345-SET-M,1
2022-04-01,J0345-SET-XL,1
2022-04-01,J0347-SET-XS,1
2022-04-01,J0347-SET-XXXL,1
2022-04-01,J0348-SET-S,1
2022-04-01,J0348-SET-XS,1
2022-04-01,J0349-SET-M,1
2022-04-01,J0349-SET-S,1
2022-04-01,J0351-SET-XXXL,1
2022-04-01,J0352-KR-XL,1
2022-04-01,J0353-KR-S,1
2022-04-01,J0354-KR-XL,1
2022-04-01,J0355-KR-M,2
2022-04-01,J0369-SKD-M,1
2022-04-01,J0375-SKD-XL,1
2022-04-01,J0376-SKD-L,1
2022-04-01,J0376-SKD-S,1
2022-04-01,J0398-DR-XXL,1
2022-04-01,J0401-DR-M,1
2022-04-01,J0415-DR-S,1
2022-04-01,JNE1906-KR-031-XXL,1
2022-04-01,JNE1951-KR-155-XS,1
2022-04-01,JNE1977-KR-237-M,1
2022-04-01,JNE2009-KR-310-XXL,1
2022-04-01,JNE2014-KR-178-L,1
2022-04-01,JNE2014-KR-178-M,1
2022-04-01,JNE2014-KR-178-XL,2
2022-04-01,JNE2049-KR-351-XL,1
2022-04-01,JNE2049-KR-351-XXXL1,1
2022-04-01,JNE2171-KR-437-XL,2
2022-04-01,JNE2199-KR-411-A-L,1
2022-04-01,JNE2199-KR-411-A-XL,1
2022-04-01,JNE2205-KR-467-A-S,1
2022-04-01,JNE2270-KR-487-A-L,1
2022-04-01,JNE2270-KR-487-A-M,1
2022-04-01,JNE2270-KR-487-A-S,1
2022-04-01,JNE2270-KR-487-A-XL,1
2022-04-01,JNE2291-KR-602-XL,1
2022-04-01,JNE2305-KR-533-L,1
2022-04-01,JNE2305-KR-533-XL,1
2022-04-01,JNE2305-KR-533-XXL,1
2022-04-01,JNE3065-KR-L,1
2022-04-01,JNE3068-KR-A-L,1
2022-04-01,JNE3160-KR-G-L,1
2022-04-01,JNE3160-KR-G-XL,1
2022-04-01,JNE3252-KR-XXXL,1
2022-04-01,JNE3256-KR-L,1
2022-04-01,JNE3256-KR-XXXL,1
2022-04-01,JNE3288-KR-XXXL,1
2022-04-01,JNE3291-KR-L,2
2022-04-01,JNE3291-KR-XL,2
2022-04-01,JNE3291-KR-XXL,1
2022-04-01,JNE3294-KR-XXXL,1
2022-04-01,JNE3311-KR-XXL,1
2022-04-01,JNE3364-KR-1051-A-L,1
2022-04-01,JNE3366-KR-1053-L,1
2022-04-01,JNE3366-KR-1053-S,1
2022-04-01,JNE3368-KR-L,4
2022-04-01,JNE3368-KR-XL,1
2022-04-01,JNE3368-KR-XS,1
2022-04-01,JNE3368-KR-XXL,4
2022-04-01,JNE3369-KR-L,1
2022-04-01,JNE3369-KR-XXL,1
2022-04-01,JNE3373-KR-L,2
2022-04-01,JNE3373-KR-M,2
2022-04-01,JNE3373-KR-S,1
2022-04-01,JNE3373-KR-XL,3
2022-04-01,JNE3373-KR-XS,1
2022-04-01,JNE3391-KR-M,1
2022-04-01,JNE3391-KR-XS,1
2022-04-01,JNE3396-KR-XL,1
2022-04-01,JNE3396-KR-XS,1
2022-04-01,JNE3396-KR-XXL,1
2022-04-01,JNE3399-KR-L,1
2022-04-01,JNE3399-KR-M,8
2022-04-01,JNE3399-KR-S,6
2022-04-01,JNE3399-KR-XL,4
2022-04-01,JNE3400-KR-XXL,1
2022-04-01,JNE3404-KR-L,1
2022-04-01,JNE3404-KR-M,1
2022-04-01,JNE3405-KR-L,10
2022-04-01,JNE3405-KR-S,7
2022-04-01,JNE3405-KR-XL,2
2022-04-01,JNE3405-KR-XS,1
2022-04-01,JNE3405-KR-XXL,3
2022-04-01,JNE3405-KR-XXXL,7
2022-04-01,JNE3408-KR-L,1
2022-04-01,JNE3412-KR-XXL,1
2022-04-01,JNE3420-KR-L,1
2022-04-01,JNE3423-KR-M,1
2022-04-01,JNE3423-KR-S,3
2022-04-01,JNE3423-KR-XXL,1
2022-04-01,JNE3429-KR-L,1
2022-04-01,JNE3436-KR-XL,1
2022-04-01,JNE3439-KR-L,1
2022-04-01,JNE3439-KR-M,2
2022-04-01,JNE3440-KR-N-L,4
2022-04-01,JNE3440-KR-N-M,6
2022-04-01,JNE3440-KR-N-XS,2
2022-04-01,JNE3440-KR-N-XXL,6
2022-04-01,JNE3440-KR-N-XXXL,5
2022-04-01,JNE3443-KR-XL,1
2022-04-01,JNE3445-KR-M,2
2022-04-01,JNE3446-KR-S,1
2022-04-01,JNE3447-KR-L,1
2022-04-01,JNE3447-KR-M,1
2022-04-01,JNE3449-KR-S,1
2022-04-01,JNE3457-KR-M,1
2022-04-01,JNE3458-KR-XXXL,1
2022-04-01,JNE3461-KR-L,1
2022-04-01,JNE3461-KR-XL,1
2022-04-01,JNE3463-KR-M,2
2022-04-01,JNE3463-KR-XS,1
2022-04-01,JNE3465-KR-M,3
2022-04-01,JNE3465-KR-XL,1
2022-04-01,JNE3465-KR-XXL,2
2022-04-01,JNE3465-KR-XXXL,1
2022-04-01,JNE3468-KR-L,2
2022-04-01,JNE3468-KR-M,1
2022-04-01,JNE3468-KR-S,1
2022-04-01,JNE3468-KR-XL,1
2022-04-01,JNE3468-KR-XS,1
2022-04-01,JNE3468-KR-XXL,1
2022-04-01,JNE3472-KR-XXXL,1
2022-04-01,JNE3482-KR-M,1
2022-04-01,JNE3484-KR-XXL,1
2022-04-01,JNE3500-KR-XXL,1
2022-04-01,JNE3504-KR-XXL,1
2022-04-01,JNE3510-KR-L,1
2022-04-01,JNE3510-KR-S,3
2022-04-01,JNE3510-KR-XL,1
2022-04-01,JNE3510-KR-XXL,1
2022-04-01,JNE3518-KR-S,1
2022-04-01,JNE3518-KR-XL,1
2022-04-01,JNE3528-KR-XXL,1
2022-04-01,JNE3530-KR-S,1
2022-04-01,JNE3531-KR-XXXL,1
2022-04-01,JNE3542-KR-M,1
2022-04-01,JNE3542-KR-XS,1
2022-04-01,JNE3543-KR-XL,2
2022-04-01,JNE3546-KR-L,2
2022-04-01,JNE3546-KR-XL,2
2022-04-01,JNE3560-KR-M,1
2022-04-01,JNE3560-KR-XL,2
2022-04-01,JNE3560-KR-XXXL,1
2022-04-01,JNE3564-KR-S,1
2022-04-01,JNE3565-KR-XXL,1
2022-04-01,JNE3567-KR-L,1
2022-04-01,JNE3567-KR-M,2
2022-04-01,JNE3567-KR-XL,1
2022-04-01,JNE3568-KR-L,2
2022-04-01,JNE3568-KR-S,1
2022-04-01,JNE3574-KR-S,1
2022-04-01,JNE3574-KR-XL,1
2022-04-01,JNE3579-KR-XL,1
2022-04-01,JNE3607-KR-XS,1
2022-04-01,JNE3608-KR-XXL,1
2022-04-01,JNE3609-KR-M,1
2022-04-01,JNE3609-KR-S,1
2022-04-01,JNE3609-KR-XS,1
2022-04-01,JNE3611-KR-M,2
2022-04-01,JNE3614-KR-XL,2
2022-04-01,JNE3616-KR-XXL,1
2022-04-01,JNE3618-KR-XXL,1
2022-04-01,JNE3630-KR-L,1
2022-04-01,JNE3633-KR-XL,1
2022-04-01,JNE3634-KR-S,1
2022-04-01,JNE3634-KR-XL,1
2022-04-01,JNE3634-KR-XXL,1
2022-04-01,JNE3638-KR-S,1
2022-04-01,JNE3640-TP-N-S,1
2022-04-01,JNE3640-TP-N-XXL,1
2022-04-01,JNE3641-TP-N-S,1
2022-04-01,JNE3641-TP-N-XS,1
2022-04-01,JNE3642-TP-XS,1
2022-04-01,JNE3642-TP-XXL,1
2022-04-01,JNE3643-TP-N-L,1
2022-04-01,JNE3644-TP-N-S,1
2022-04-01,JNE3644-TP-N-XS,1
2022-04-01,JNE3644-TP-N-XXL,3
2022-04-01,JNE3645-TP-N-L,1
2022-04-01,JNE3645-TP-N-M,2
2022-04-01,JNE3645-TP-N-S,2
2022-04-01,JNE3645-TP-N-XL,1
2022-04-01,JNE3645-TP-N-XXL,2
2022-04-01,JNE3647-TP-N-XXL,1
2022-04-01,JNE3648-TP-N-XXL,2
2022-04-01,JNE3654-TP-L,1
2022-04-01,JNE3654-TP-S,1
2022-04-01,JNE3656-TP-N-M,1
2022-04-01,JNE3658-TP-XL,1
2022-04-01,JNE3659-TP-N-XXL,2
2022-04-01,JNE3670-TU-XS,4
2022-04-01,JNE3675-TU-M,1
2022-04-01,JNE3679-TU-L,1
2022-04-01,JNE3680-TU-M,1
2022-04-01,JNE3684-TU-M,1
2022-04-01,JNE3684-TU-XS,1
2022-04-01,JNE3684-TU-XXXL,1
2022-04-01,JNE3686-TU-XXXL,2
2022-04-01,JNE3689-TU-XXL,1
2022-04-01,JNE3690-TU-M,1
2022-04-01,JNE3690-TU-S,1
2022-04-01,JNE3690-TU-XXL,2
2022-04-01,JNE3691-TU-XL,1
2022-04-01,JNE3697-KR-S,1
2022-04-01,JNE3698-KR-S,1
2022-04-01,JNE3706-DR-L,1
2022-04-01,JNE3706-DR-M,1
2022-04-01,JNE3707-DR-M,1
2022-04-01,JNE3707-DR-XXXL,1
2022-04-01,JNE3712-TP-N-M,1
2022-04-01,JNE3713-TP-N-XS,1
2022-04-01,JNE3714-KR-L,1
2022-04-01,JNE3714-KR-XS,1
2022-04-01,JNE3716-KR-L,1
2022-04-01,JNE3716-KR-XXL,1
2022-04-01,JNE3718-KR-XXXL,1
2022-04-01,JNE3721-KR-XXL,1
2022-04-01,JNE3721-KR-XXXL,1
2022-04-01,JNE3722-KR-XL,1
2022-04-01,JNE3727-KR-L,1
2022-04-01,JNE3729-KR-XL,1
2022-04-01,JNE3729-KR-XS,1
2022-04-01,JNE3735-KR-XL,2
2022-04-01,JNE3741-KR-XL,1
2022-04-01,JNE3743-TP-L,1
2022-04-01,JNE3744-TU-S,1
2022-04-01,JNE3745-KR-S,1
2022-04-01,JNE3751-KR-L,1
2022-04-01,JNE3758-KR-S,1
2022-04-01,JNE3758-KR-XXXL,1
2022-04-01,JNE3759-KR-XXL,1
2022-04-01,JNE3764-KR-XS,1
2022-04-01,JNE3765-KR-XS,1
2022-04-01,JNE3769-KR-XXXL,1
2022-04-01,JNE3773-KR-L,1
2022-04-01,JNE3776-KR-S,1
2022-04-01,JNE3776-KR-XXXL,1
2022-04-01,JNE3778-KR-XXL,1
2022-04-01,JNE3781-KR-M,1
2022-04-01,JNE3781-KR-S,1
2022-04-01,JNE3781-KR-XS,1
2022-04-01,JNE3781-KR-XXXL,1
2022-04-01,JNE3783-KR-S,1
2022-04-01,JNE3784-KR-XL,1
2022-04-01,JNE3785-KR-XS,1
2022-04-01,JNE3785-KR-XXL,1
2022-04-01,JNE3785-KR-XXXL,1
2022-04-01,JNE3786-KR-XXXL,1
2022-04-01,JNE3787-KR-S,1
2022-04-01,JNE3794-KR-L,3
2022-04-01,JNE3794-KR-M,1
2022-04-01,JNE3794-KR-XL,1
2022-04-01,JNE3794-KR-XXXL,4
2022-04-01,JNE3795-KR-XL,1
2022-04-01,JNE3795-KR-XS,1
2022-04-01,JNE3797-KR-A-M,1
2022-04-01,JNE3797-KR-L,4
2022-04-01,JNE3797-KR-M,2
2022-04-01,JNE3797-KR-S,2
2022-04-01,JNE3797-KR-XL,3
2022-04-01,JNE3797-KR-XXL,2
2022-04-01,JNE3797-KR-XXXL,3
2022-04-01,JNE3798-KR-L,1
2022-04-01,JNE3798-KR-M,2
2022-04-01,JNE3798-KR-XXL,2
2022-04-01,JNE3799-KR-L,2
2022-04-01,JNE3799-KR-M,1
2022-04-01,JNE3799-KR-XS,1
2022-04-01,JNE3800-KR-A-L,1
2022-04-01,JNE3800-KR-A-XXL,1
2022-04-01,JNE3800-KR-L,1
2022-04-01,JNE3800-KR-M,1
2022-04-01,JNE3800-KR-S,1
2022-04-01,JNE3800-KR-XL,2
2022-04-01,JNE3800-KR-XXL,1
2022-04-01,JNE3800-KR-XXXL,1
2022-04-01,JNE3801-KR-M,1
2022-04-01,JNE3801-KR-XXXL,1
2022-04-01,JNE3802-KR-L,1
2022-04-01,JNE3802-KR-M,1
2022-04-01,JNE3802-KR-XL,3
2022-04-01,JNE3802-KR-XS,1
2022-04-01,JNE3802-KR-XXL,1
2022-04-01,JNE3803-KR-S,1
2022-04-01,JNE3806-KR-XXXL,1
2022-04-01,JNE3807-KR-L,1
2022-04-01,JNE3807-KR-S,1
2022-04-01,JNE3813-KR-L,1
2022-04-01,JNE3813-KR-XXXL,1
2022-04-01,JNE3816-KR-XL,1
2022-04-01,JNE3817-KR-XL,1
2022-04-01,JNE3823-KR-XS,1
2022-04-01,JNE3836-KR-S,1
2022-04-01,JNE3837-KR-XXL,1
2022-04-01,JNE3838-KR-S,1
2022-04-01,JNE3838-KR-XL,1
2022-04-01,JNE3838-KR-XXXL,1
2022-04-01,JNE3856-KR-L,1
2022-04-01,JNE3860-DR-XXXL,1
2022-04-01,JNE3861-DR-XXL,1
2022-04-01,JNE3861-DR-XXXL,1
2022-04-01,JNE3863-TU-L,1
2022-04-01,JNE3863-TU-XL,1
2022-04-01,JNE3869-DR-S,1
2022-04-01,JNE3870-DR-XL,1
2022-04-01,JNE3878-KR-XXXL,1
2022-04-01,JNE3879-DR-L,1
2022-04-01,MEN5001-KR-XXL,1
2022-04-01,MEN5002-KR-M,1
2022-04-01,MEN5002-KR-XXL,1
2022-04-01,MEN5003-KR-S,1
2022-04-01,MEN5004-KR-L,2
2022-04-01,MEN5004-KR-M,1
2022-04-01,MEN5004-KR-XXL,1
2022-04-01,MEN5005-KR-XXXL,1
2022-04-01,MEN5006-KR-M,1
2022-04-01,MEN5009-KR-L,1
2022-04-01,MEN5009-KR-XXXL,2
2022-04-01,MEN5011-KR-L,1
2022-04-01,MEN5013-KR-L,2
2022-04-01,MEN5014-KR-L,1
2022-04-01,MEN5014-KR-S,1
2022-04-01,MEN5017-KR-S,1
2022-04-01,MEN5019-KR-XXXL,1
2022-04-01,MEN5021-KR-L,1
2022-04-01,MEN5021-KR-XL,1
2022-04-01,MEN5021-KR-XXL,1
2022-04-01,MEN5022-KR-XXL,1
2022-04-01,MEN5022-KR-XXXL,1
2022-04-01,MEN5024-KR-S,2
2022-04-01,MEN5024-KR-XXXL,1
2022-04-01,MEN5025-KR-L,1
2022-04-01,MEN5025-KR-XL,1
2022-04-01,MEN5025-KR-XXL,3
2022-04-01,MEN5026-KR-XL,1
2022-04-01,MEN5027-KR-XXXL,1
2022-04-01,MEN5032-KR-L,1
2022-04-01,NW001-TP-PJ-XL,2
2022-04-01,NW001-TP-PJ-XXXL,1
2022-04-01,NW007-ST-CP-XXXL,1
2022-04-01,NW008-ST-CP-XXXL,1
2022-04-01,NW013-ST-SR-XS,1
2022-04-01,NW013-ST-SR-XXL,1
2022-04-01,NW015-TP-PJ-M,1
2022-04-01,NW020-ST-SR-XS,2
2022-04-01,NW022-TP-PJ-S,1
2022-04-01,NW029-ST-SR-M,1
2022-04-01,NW029-ST-SR-S,1
2022-04-01,NW030-TP-PJ-M,1
2022-04-01,NW030-TP-PJ-XL,1
2022-04-01,NW034-TP-PJ-L,1
2022-04-01,NW037-TP-SR-S,1
2022-04-01,NW037-TP-SR-XXL,1
2022-04-01,NW039-TP-SR-S,1
2022-04-01,PJNE2014-KR-N-4XL,1
2022-04-01,PJNE2014-KR-N-6XL,1
2022-04-01,PJNE2100-KR-N-4XL,1
2022-04-01,PJNE2100-KR-N-6XL,4
2022-04-01,PJNE2171-KR-N-6XL,1
2022-04-01,PJNE2199-KR-N-4XL,3
2022-04-01,PJNE2199-KR-N-6XL,1
2022-04-01,PJNE3252-KR-N-4XL,2
2022-04-01,PJNE3291-KR-5XL,2
2022-04-01,PJNE3373-KR-N-6XL,5
2022-04-01,PJNE3399-KR-N-4XL,2
2022-04-01,PJNE3399-KR-N-5XL,2
2022-04-01,PJNE3399-KR-N-6XL,1
2022-04-01,PJNE3404-KR-N-4XL,1
2022-04-01,PJNE3405-KR-N-6XL,1
2022-04-01,PJNE3423-KR-N-4XL,2
2022-04-01,PJNE3440-KR-N-6XL,1
2022-04-01,PSET043-KR-NP-5XL,1
2022-04-01,PSET058-KR-NP-5XL,1
2022-04-01,PSET264-KR-NP-4XL,1
2022-04-01,PSET264-KR-NP-5XL,2
2022-04-01,PSET268-KR-NP-5XL,2
2022-04-01,PSET268-KR-NP-6XL,1
2022-04-01,SET037-KR-NP-L,1
2022-04-01,SET037-KR-NP-XL,1
2022-04-01,SET038-KR-PP-XXL,1
2022-04-01,SET043-KR-NP-M,1
2022-04-01,SET043-KR-NP-XXXL,1
2022-04-01,SET044-KR-NP-L,1
2022-04-01,SET044-KR-NP-M,2
2022-04-01,SET044-KR-NP-S,1
2022-04-01,SET044-KR-NP-XS,1
2022-04-01,SET048-KR-NP-XS,1
2022-04-01,SET055-KR-NP-XS,1
2022-04-01,SET058-KR-NP-L,1
2022-04-01,SET058-KR-NP-M,1
2022-04-01,SET058-KR-NP-XL,1
2022-04-01,SET073-KR-SHA-M,2
